iter	RMSE
0	8.577385623
1	8.463751416
2	8.391492913
3	8.300288424
4	8.205446351
5	8.162435973
6	8.125611541
7	8.089362708
8	8.018126579
9	7.990112865
10	7.913966528
11	7.865280696
12	7.840646451
13	7.807103393
14	7.782704796
15	7.732153906
16	7.680376706
17	7.631127497
18	7.615124769
19	7.596703703
20	7.540812313
21	7.517268921
22	7.468724368
23	7.427167849
24	7.389376408
25	7.372702295
26	7.353413328
27	7.34128236
28	7.325732302
29	7.30929361
30	7.282231189
31	7.269766937
32	7.249238402
33	7.233881074
34	7.220248724
35	7.210605731
36	7.179383831
37	7.166607346
38	7.150876538
39	7.141933352
40	7.136018033
41	7.12634264
42	7.099068084
43	7.086411912
44	7.075117542
45	7.047977997
46	7.036499071
47	7.023483536
48	7.014610136
49	7.00441513
50	6.995797781
51	6.987679242
52	6.980710538
53	6.971474565
54	6.961711
55	6.954454359
56	6.946199886
57	6.924116217
58	6.913270378
59	6.903617932
60	6.894761677
61	6.890225333
62	6.882902049
63	6.880692198
64	6.872415222
65	6.867900665
66	6.847726354
67	6.837587418
68	6.83265475
69	6.826901043
70	6.819717634
71	6.810985451
72	6.803358002
73	6.78491328
74	6.778246519
75	6.7702278
76	6.76110485
77	6.754952255
78	6.747973466
79	6.736641194
80	6.729383991
81	6.72011159
82	6.715549255
83	6.710219858
84	6.704336984
85	6.698388159
86	6.693550515
87	6.671313916
88	6.666023282
89	6.662738246
90	6.653621382
91	6.639321666
92	6.634967027
93	6.626136798
94	6.623606879
95	6.607139291
96	6.599510442
97	6.584538841
98	6.575545014
99	6.565645217
100	6.56068341
101	6.548536062
102	6.540531086
103	6.532443973
104	6.52972607
105	6.525400929
106	6.521663465
107	6.518223642
108	6.511273134
109	6.506578512
110	6.498512087
111	6.483620786
112	6.483085347
113	6.478607117
114	6.466572796
115	6.459995529
116	6.457793999
117	6.456240535
118	6.445493211
119	6.442640581
120	6.437805257
121	6.420729054
122	6.415463305
123	6.411945007
124	6.402816454
125	6.399213053
126	6.394948898
127	6.381788837
128	6.376651545
129	6.368556457
130	6.36333152
131	6.35836393
132	6.356134326
133	6.352753843
134	6.339004074
135	6.334981019
136	6.326088821
137	6.32076708
138	6.317053015
139	6.31235197
140	6.308806607
141	6.301259303
142	6.292610002
143	6.28630742
144	6.28191377
145	6.277322068
146	6.27298659
147	6.270843484
148	6.263015306
149	6.258479125
150	6.248309345
151	6.241066364
152	6.232583326
153	6.224712532
154	6.213277306
155	6.207871203
156	6.203856446
157	6.199387968
158	6.196702376
159	6.184291582
160	6.169171443
161	6.161533578
162	6.153866142
163	6.145550581
164	6.140015563
165	6.133203708
166	6.125265984
167	6.116890164
168	6.109218283
169	6.102819417
170	6.097553895
171	6.091884357
172	6.087768477
173	6.083398022
174	6.08010864
175	6.075212052
176	6.062723482
177	6.056994991
178	6.052597537
179	6.047101343
180	6.040265424
181	6.036171585
182	6.033546271
183	6.029577702
184	6.025336805
185	6.013046652
186	6.007462627
187	6.0036125
188	5.991993911
189	5.987007469
190	5.979254055
191	5.974948861
192	5.966004886
193	5.963476078
194	5.96083639
195	5.955696915
196	5.953068467
197	5.942798987
198	5.934394996
199	5.928931553
200	5.926655512
201	5.923589141
202	5.915128845
203	5.906349689
204	5.902458508
205	5.900066785
206	5.885617983
207	5.883822782
208	5.875249215
209	5.873935003
210	5.872423951
211	5.86807914
212	5.86031008
213	5.850692586
214	5.842989402
215	5.839630225
216	5.832113431
217	5.827338183
218	5.822209991
219	5.818417321
220	5.812988736
221	5.808524637
222	5.805814246
223	5.803184348
224	5.798942574
225	5.796121482
226	5.786498904
227	5.782353141
228	5.779502242
229	5.772933485
230	5.771579708
231	5.761438014
232	5.757584892
233	5.756609484
234	5.752280157
235	5.745701761
236	5.742142198
237	5.735700851
238	5.732118147
239	5.725378522
240	5.722948092
241	5.718874036
242	5.715715467
243	5.713787907
244	5.711437245
245	5.7069475
246	5.699921301
247	5.696606234
248	5.687609123
249	5.684691215
250	5.677729631
251	5.671544639
252	5.664389888
253	5.659830212
254	5.658175329
255	5.651463741
256	5.640531819
257	5.634959427
258	5.625312942
259	5.624184652
260	5.621292086
261	5.615714662
262	5.6144571
263	5.605836298
264	5.596815708
265	5.593824076
266	5.590639099
267	5.589148535
268	5.586347136
269	5.579525189
270	5.569710433
271	5.567481142
272	5.562590029
273	5.558012687
274	5.550966685
275	5.546617224
276	5.544307996
277	5.54148804
278	5.53943122
279	5.535511645
280	5.532509699
281	5.530214202
282	5.525176075
283	5.518478198
284	5.515415818
285	5.510340554
286	5.504972269
287	5.497855444
288	5.492149092
289	5.49017962
290	5.487508084
291	5.482395905
292	5.477950252
293	5.474732028
294	5.469666335
295	5.460433378
296	5.454532981
297	5.453180893
298	5.447326348
299	5.445969313
300	5.444657837
301	5.440587207
302	5.435721822
303	5.430011504
304	5.428720134
305	5.423843481
306	5.418053388
307	5.41556687
308	5.411584138
309	5.409447909
310	5.408078661
311	5.405314874
312	5.397874419
313	5.389896468
314	5.388172887
315	5.385982039
316	5.37777655
317	5.375641149
318	5.369742067
319	5.362509185
320	5.360297084
321	5.355180288
322	5.3543511
323	5.351424795
324	5.347797058
325	5.340003863
326	5.333095326
327	5.328083215
328	5.322643413
329	5.316014501
330	5.309597571
331	5.307421735
332	5.305178795
333	5.297230718
334	5.294531278
335	5.290586673
336	5.288297868
337	5.28484248
338	5.281202373
339	5.277689883
340	5.275097028
341	5.273112208
342	5.265691759
343	5.262841429
344	5.257253344
345	5.25327462
346	5.250600802
347	5.243150805
348	5.23642161
349	5.231996649
350	5.226659319
351	5.223365792
352	5.219288598
353	5.213989243
354	5.209387585
355	5.206600037
356	5.200609832
357	5.195546119
358	5.191737806
359	5.189228494
360	5.185326438
361	5.180349392
362	5.174445354
363	5.169944404
364	5.166840524
365	5.160675209
366	5.158449696
367	5.151117757
368	5.148558303
369	5.145115125
370	5.139445438
371	5.137160195
372	5.1335353
373	5.130150523
374	5.126249763
375	5.124267829
376	5.11891574
377	5.116331729
378	5.112492494
379	5.109630918
380	5.107818593
381	5.104216833
382	5.102012334
383	5.100344739
384	5.097424279
385	5.092727939
386	5.090814055
387	5.088437579
388	5.086440227
389	5.080487024
390	5.078395917
391	5.072981636
392	5.069200019
393	5.066382668
394	5.063976704
395	5.062715165
396	5.060582576
397	5.055729384
398	5.05416123
399	5.052495615
400	5.048350838
401	5.044690728
402	5.041877718
403	5.039858091
404	5.036536873
405	5.031891288
406	5.029271444
407	5.025796727
408	5.023890197
409	5.01978999
410	5.017307657
411	5.01489922
412	5.013116057
413	5.010938201
414	5.005888728
415	5.001820798
416	4.998889628
417	4.996682481
418	4.992960331
419	4.988381053
420	4.987725146
421	4.983167608
422	4.980991705
423	4.978170879
424	4.974706711
425	4.973913978
426	4.97058121
427	4.968498199
428	4.965631766
429	4.962515417
430	4.958005854
431	4.954421638
432	4.952479146
433	4.948224851
434	4.945801107
435	4.940246453
436	4.938228114
437	4.935085884
438	4.933096822
439	4.93091722
440	4.92784777
441	4.924513555
442	4.9230587
443	4.920740189
444	4.918247854
445	4.916220672
446	4.914264789
447	4.912457395
448	4.910710305
449	4.906815912
450	4.90376858
451	4.900170974
452	4.898388656
453	4.894822325
454	4.892562866
455	4.891498029
456	4.889239008
457	4.886420536
458	4.883722191
459	4.879884966
460	4.876773001
461	4.871128096
462	4.867154917
463	4.865404056
464	4.862825764
465	4.861690807
466	4.858911816
467	4.85696431
468	4.855654099
469	4.853388956
470	4.848591372
471	4.843508749
472	4.840583874
473	4.83611126
474	4.835243618
475	4.828318001
476	4.823926411
477	4.820693298
478	4.819301758
479	4.817113159
480	4.814682895
481	4.811958771
