iter	Passed	Remaining
0	2	2654
1	5	2510
2	7	2454
3	9	2401
4	11	2382
5	14	2350
6	16	2328
7	18	2313
8	20	2304
9	23	2295
10	25	2290
11	27	2280
12	29	2272
13	32	2263
14	34	2255
15	36	2259
16	39	2268
17	41	2264
18	43	2262
19	46	2254
20	48	2250
21	50	2249
22	52	2251
23	55	2247
24	57	2245
25	59	2239
26	61	2232
27	64	2233
28	66	2229
29	69	2233
30	71	2234
31	73	2229
32	76	2228
33	78	2229
34	80	2226
35	83	2227
36	85	2232
37	88	2228
38	90	2228
39	92	2224
40	94	2218
41	97	2219
42	99	2216
43	101	2213
44	104	2212
45	106	2210
46	108	2206
47	111	2206
48	113	2204
49	116	2206
50	118	2205
51	120	2202
52	123	2200
53	125	2197
54	127	2198
55	131	2215
56	133	2215
57	136	2221
58	139	2220
59	141	2220
60	145	2234
61	147	2237
62	151	2247
63	153	2246
64	155	2243
65	158	2243
66	160	2240
67	163	2239
68	165	2236
69	167	2231
70	170	2228
71	172	2226
72	175	2223
73	177	2220
74	179	2218
75	182	2215
76	184	2212
77	186	2208
78	189	2208
79	191	2205
80	194	2201
81	196	2198
82	198	2194
83	200	2190
84	203	2191
85	206	2189
86	208	2187
87	210	2185
88	213	2182
89	215	2180
90	218	2179
91	220	2177
92	223	2175
93	225	2172
94	227	2169
95	230	2167
96	232	2164
97	235	2163
98	237	2161
99	239	2158
100	242	2154
101	244	2152
102	246	2148
103	249	2146
104	251	2144
105	253	2141
106	256	2138
107	258	2135
108	260	2131
109	263	2129
110	265	2127
111	267	2124
112	268	2111
113	271	2108
114	273	2105
115	275	2103
116	278	2100
117	280	2098
118	283	2095
119	285	2092
120	287	2089
121	290	2087
122	292	2083
123	294	2081
124	296	2078
125	299	2075
126	301	2072
127	303	2070
128	306	2067
129	308	2065
130	311	2063
131	313	2060
132	315	2058
133	318	2055
134	320	2052
135	322	2049
136	325	2047
137	327	2044
138	329	2042
139	332	2039
140	334	2036
141	336	2034
142	338	2031
143	341	2030
144	344	2032
145	347	2031
146	349	2030
147	352	2028
148	354	2025
149	357	2025
150	359	2022
151	362	2020
152	364	2017
153	366	2015
154	369	2012
155	372	2013
156	375	2015
157	378	2017
158	381	2015
159	383	2013
160	386	2011
161	388	2008
162	390	2006
163	393	2003
164	395	2000
165	397	1998
166	400	1995
167	402	1993
168	404	1991
169	407	1988
170	409	1986
171	412	1984
172	414	1981
173	417	1979
174	419	1976
175	421	1974
176	424	1971
177	426	1968
178	428	1965
179	430	1963
180	433	1960
181	435	1957
182	437	1954
183	440	1951
184	442	1948
185	444	1945
186	446	1943
187	449	1940
188	451	1938
189	453	1935
190	456	1932
191	458	1929
192	460	1927
193	463	1925
194	465	1922
195	467	1919
196	470	1916
197	472	1914
198	474	1911
199	477	1909
200	479	1906
201	481	1904
202	484	1902
203	486	1899
204	489	1897
205	491	1894
